date,currency_pair,close_price
2002-09-17,EURUSD,1.0325
2002-09-17,GBPUSD,0.6518
2002-09-17,HKDUSD,7.7996
2002-09-17,INRUSD,48.45
2002-09-17,JPYUSD,122.64
2002-09-17,KRWUSD,1218.6
2002-09-17,LKRUSD,96.15
2002-09-17,MXNUSD,9.955
2002-09-17,MYRUSD,3.8
2002-09-17,NOKUSD,7.579
2002-09-17,NZDUSD,2.1299
2002-09-17,SEKUSD,9.413
2002-09-17,SGDUSD,1.779
2002-09-17,THBUSD,43.03
2002-09-17,TWDUSD,34.78
2002-09-17,ZARUSD,10.58
2002-09-18,AUDUSD,1.8232
2002-09-18,BRLUSD,3.345
2002-09-18,CADUSD,1.5835
2002-09-18,CHFUSD,1.4982
2002-09-18,CNYUSD,8.277
2002-09-18,DKKUSD,7.5885
2002-09-18,EURUSD,1.0216
2002-09-18,GBPUSD,0.6441
2002-09-18,HKDUSD,7.7999
2002-09-18,INRUSD,48.43
2002-09-18,JPYUSD,121.49
2002-09-18,KRWUSD,1213.0
2002-09-18,LKRUSD,96.16
2002-09-18,MXNUSD,10.01
2002-09-18,MYRUSD,3.8
2002-09-18,NOKUSD,7.5055
2002-09-18,NZDUSD,2.1259
2002-09-18,SEKUSD,9.303
2002-09-18,SGDUSD,1.7724
2002-09-18,THBUSD,42.94
2002-09-18,TWDUSD,34.69
2002-09-18,ZARUSD,10.6
2002-09-19,AUDUSD,1.8149
2002-09-19,BRLUSD,3.411
2002-09-19,CADUSD,1.5727
2002-09-19,CHFUSD,1.492
2002-09-19,CNYUSD,8.277
2002-09-19,DKKUSD,7.571
2002-09-19,EURUSD,1.0186
2002-09-19,GBPUSD,0.6433
2002-09-19,HKDUSD,7.7998
2002-09-19,INRUSD,48.44
2002-09-19,JPYUSD,121.48
2002-09-19,KRWUSD,1210.0
2002-09-19,LKRUSD,96.23
2002-09-19,MXNUSD,10.075
2002-09-19,MYRUSD,3.8
2002-09-19,NOKUSD,7.4595
2002-09-19,NZDUSD,2.1061
2002-09-19,SEKUSD,9.243
2002-09-19,SGDUSD,1.7712
2002-09-19,THBUSD,43.0
2002-09-19,TWDUSD,34.61
2002-09-19,ZARUSD,10.5487
2002-09-20,AUDUSD,1.8302
2002-09-20,BRLUSD,3.435
2002-09-20,CADUSD,1.573
2002-09-20,CHFUSD,1.488
2002-09-20,CNYUSD,8.2769
2002-09-20,DKKUSD,7.552
2002-09-20,EURUSD,1.0164
2002-09-20,GBPUSD,0.6428
2002-09-20,HKDUSD,7.8
2002-09-20,INRUSD,48.46
2002-09-20,JPYUSD,123.16
2002-09-20,KRWUSD,1210.0
2002-09-20,LKRUSD,96.23
2002-09-20,MXNUSD,10.254
2002-09-20,MYRUSD,3.8
2002-09-20,NOKUSD,7.488
2002-09-20,NZDUSD,2.1245
2002-09-20,SEKUSD,9.193
2002-09-20,SGDUSD,1.7783
2002-09-20,THBUSD,43.34
2002-09-20,TWDUSD,34.77
2002-09-20,ZARUSD,10.59
2002-09-23,AUDUSD,1.8359
2002-09-23,BRLUSD,3.569
2002-09-23,CADUSD,1.5845
2002-09-23,CHFUSD,1.491
2002-09-23,CNYUSD,8.2771
2002-09-23,DKKUSD,7.565
2002-09-23,EURUSD,1.0181
2002-09-23,GBPUSD,0.6421
2002-09-23,HKDUSD,7.7999
2002-09-23,INRUSD,48.44
2002-09-23,JPYUSD,123.93
2002-09-23,KRWUSD,1220.3
2002-09-23,LKRUSD,96.25
2002-09-23,MXNUSD,10.35
2002-09-23,MYRUSD,3.8
2002-09-23,NOKUSD,7.477
2002-09-23,NZDUSD,2.129
2002-09-23,SEKUSD,9.243
2002-09-23,SGDUSD,1.782
2002-09-23,THBUSD,43.44
2002-09-23,TWDUSD,34.78
2002-09-23,ZARUSD,10.68
2002-09-24,AUDUSD,1.8365
2002-09-24,BRLUSD,3.61
2002-09-24,CADUSD,1.5856
2002-09-24,CHFUSD,1.4918
2002-09-24,CNYUSD,8.2771
2002-09-24,DKKUSD,7.566
2002-09-24,EURUSD,1.0188
2002-09-24,GBPUSD,0.6425
2002-09-24,HKDUSD,7.7997
2002-09-24,INRUSD,48.42
2002-09-24,JPYUSD,123.38
2002-09-24,KRWUSD,1232.0
2002-09-24,LKRUSD,96.23
2002-09-24,MXNUSD,10.225
2002-09-24,MYRUSD,3.8
2002-09-24,NOKUSD,7.451
2002-09-24,NZDUSD,2.124
2002-09-24,SEKUSD,9.268
2002-09-24,SGDUSD,1.7808
2002-09-24,THBUSD,43.43
2002-09-24,TWDUSD,34.81
2002-09-24,ZARUSD,10.69
2002-09-25,AUDUSD,1.8365
2002-09-25,BRLUSD,3.71
2002-09-25,CADUSD,1.5812
2002-09-25,CHFUSD,1.4933
2002-09-25,CNYUSD,8.2769
2002-09-25,DKKUSD,7.579
2002-09-25,EURUSD,1.0207
